account_id,account_number,customer_id,product_id,branch_id,open_date,close_date,account_status,currency,current_balance,account_type
AC00001,70154600000001,CU04151,PR006,BR007,2019-03-30,,ACTIVE,INR,121607.63,CURRENT
AC00002,97228100000002,CU04451,PR007,BR003,2022-05-14,,DORMANT,INR,118130.50,FIXED_DEPOSIT
AC00003,97022800000003,CU00850,PR005,BR005,2018-01-04,,ACTIVE,INR,180814.03,CURRENT
AC00004,39691700000004,CU01893,PR001,BR003,2022-03-24,,ACTIVE,INR,3139.65,SAVINGS
AC00005,87740400000005,CU02988,PR001,BR008,2019-12-02,2024-10-25,CLOSED,INR,178838.04,SAVINGS
AC00006,31433800000006,CU03176,PR009,BR007,2019-05-02,,ACTIVE,INR,142643.66,FIXED_DEPOSIT
AC00007,64847700000007,CU04538,PR005,BR003,2024-06-20,2026-08-23,CLOSED,INR,109274.74,CURRENT
AC00008,14778900000008,CU04103,PR007,BR005,2023-04-02,,ACTIVE,INR,44692.62,FIXED_DEPOSIT
AC00009,66192300000009,CU00816,PR003,BR003,2019-10-28,2024-04-15,CLOSED,INR,52889.18,SAVINGS
AC00010,95415500000010,CU01649,PR009,BR004,2020-07-26,,ACTIVE,INR,173642.32,FIXED_DEPOSIT
AC00011,67544100000011,CU01217,PR003,BR002,2018-10-16,2023-04-11,CLOSED,INR,50456.34,SAVINGS
AC00012,60193900000012,CU00598,PR001,BR003,2021-09-07,2025-01-19,CLOSED,INR,240308.07,SAVINGS
AC00013,35412000000013,CU04664,PR009,BR010,2019-06-27,,ACTIVE,INR,44779.66,FIXED_DEPOSIT
AC00014,21324600000014,CU03611,PR004,BR002,2019-08-30,2021-04-12,CLOSED,INR,148976.68,CURRENT
AC00015,25826200000015,CU02347,PR006,BR005,2025-10-17,2026-08-26,CLOSED,INR,47708.04,CURRENT
AC00016,30649000000016,CU03177,PR002,BR008,2019-05-12,2022-03-18,CLOSED,INR,65520.89,SAVINGS
AC00017,83760400000017,CU01356,PR008,BR001,2021-01-25,,DORMANT,INR,174078.45,FIXED_DEPOSIT
AC00018,77556200000018,CU00457,PR008,BR004,2024-11-27,2025-11-24,CLOSED,INR,63481.69,FIXED_DEPOSIT
AC00019,66317800000019,CU00743,PR003,BR002,2025-11-16,,ACTIVE,INR,101512.98,SAVINGS
AC00020,25884100000020,CU04356,PR008,BR003,2023-11-21,,DORMANT,INR,155944.42,FIXED_DEPOSIT
AC00021,65434500000021,CU03762,PR004,BR003,2025-04-20,2026-08-25,CLOSED,INR,137780.07,CURRENT
AC00022,91374000000022,CU01465,PR004,BR003,2023-06-13,2026-08-28,CLOSED,INR,246294.57,CURRENT
AC00023,59534700000023,CU03502,PR009,BR008,2021-07-12,2026-08-23,CLOSED,INR,113968.08,FIXED_DEPOSIT
AC00024,92639800000024,CU04727,PR008,BR007,2021-01-01,2022-02-18,CLOSED,INR,124888.65,FIXED_DEPOSIT
AC00025,98232200000025,CU03080,PR009,BR008,2023-12-23,,DORMANT,INR,84776.61,FIXED_DEPOSIT
AC00026,14609200000026,CU04730,PR008,BR004,2025-06-08,,DORMANT,INR,65721.39,FIXED_DEPOSIT
AC00027,92831700000027,CU01353,PR005,BR009,2023-02-13,,ACTIVE,INR,20933.79,CURRENT
AC00028,95913700000028,CU02724,PR005,BR006,2025-09-09,,DORMANT,INR,48251.34,CURRENT
AC00029,18900900000029,CU01080,PR005,BR006,2021-11-15,,ACTIVE,INR,82052.94,CURRENT
AC00030,79470300000030,CU02268,PR006,BR008,2020-05-10,2023-07-24,CLOSED,INR,128447.18,CURRENT
AC00031,14440500000031,CU02206,PR004,BR004,2018-11-11,,DORMANT,INR,103073.24,CURRENT
AC00032,57096800000032,CU03661,PR003,BR005,2019-10-06,,ACTIVE,INR,170437.67,SAVINGS
AC00033,37430800000033,CU02990,PR009,BR010,2021-04-29,2026-01-27,CLOSED,INR,33116.43,FIXED_DEPOSIT
AC00034,79341700000034,CU00254,PR006,BR002,2025-10-15,,ACTIVE,INR,74901.38,CURRENT
AC00035,26538300000035,CU03775,PR006,BR009,2020-06-30,2022-12-06,CLOSED,INR,77361.11,CURRENT
AC00036,45963100000036,CU03798,PR007,BR009,2020-04-14,,ACTIVE,INR,58807.08,FIXED_DEPOSIT
AC00037,59467600000037,CU02937,PR002,BR010,2018-04-14,,ACTIVE,INR,114334.57,SAVINGS
AC00038,91573600000038,CU02113,PR007,BR009,2019-12-14,,DORMANT,INR,161369.60,FIXED_DEPOSIT
AC00039,75558300000039,CU01286,PR007,BR008,2022-06-25,,ACTIVE,INR,2058.26,FIXED_DEPOSIT
AC00040,91315300000040,CU00397,PR001,BR005,2022-01-31,,ACTIVE,INR,160382.65,SAVINGS
AC00041,63285100000041,CU01641,PR006,BR001,2022-11-22,,ACTIVE,INR,43748.75,CURRENT
AC00042,49832200000042,CU04878,PR004,BR007,2023-11-05,,ACTIVE,INR,253172.49,CURRENT
AC00043,25767000000043,CU02386,PR006,BR001,2019-02-08,,ACTIVE,INR,0.00,CURRENT
AC00044,92743600000044,CU04324,PR005,BR001,2025-11-19,2026-08-22,CLOSED,INR,170685.83,CURRENT
AC00045,86129500000045,CU02456,PR001,BR010,2022-05-18,,ACTIVE,INR,69246.13,SAVINGS
AC00046,29845100000046,CU03021,PR007,BR009,2025-02-19,,DORMANT,INR,151568.53,FIXED_DEPOSIT
AC00047,66564600000047,CU02544,PR009,BR007,2025-01-28,,ACTIVE,INR,274910.34,FIXED_DEPOSIT
AC00048,10816900000048,CU02529,PR003,BR006,2025-07-08,,DORMANT,INR,234429.53,SAVINGS
AC00049,28485500000049,CU04268,PR001,BR004,2022-02-19,,DORMANT,INR,147895.70,SAVINGS
AC00050,38959600000050,CU00262,PR008,BR010,2020-05-10,,ACTIVE,INR,13356.16,FIXED_DEPOSIT
AC00051,15612700000051,CU03100,PR007,BR006,2021-09-01,,DORMANT,INR,59485.07,FIXED_DEPOSIT
AC00052,69573000000052,CU02175,PR001,BR006,2021-03-25,,DORMANT,INR,181231.47,SAVINGS
AC00053,28554700000053,CU02008,PR007,BR005,2025-04-09,,DORMANT,INR,141074.68,FIXED_DEPOSIT
AC00054,55268100000054,CU04832,PR003,BR009,2023-08-15,,DORMANT,INR,104492.96,SAVINGS
AC00055,13106600000055,CU01922,PR006,BR003,2023-10-31,,DORMANT,INR,229052.15,CURRENT
AC00056,57614800000056,CU01246,PR004,BR007,2023-05-29,2025-05-02,CLOSED,INR,106705.97,CURRENT
AC00057,65829600000057,CU01909,PR001,BR004,2025-08-13,,ACTIVE,INR,103327.21,SAVINGS
AC00058,86853100000058,CU03598,PR001,BR010,2020-11-20,2023-08-05,CLOSED,INR,217876.84,SAVINGS
AC00059,19238800000059,CU04877,PR006,BR007,2020-03-04,,ACTIVE,INR,67592.43,CURRENT
AC00060,27184800000060,CU04106,PR002,BR006,2019-09-05,,DORMANT,INR,135089.68,SAVINGS
AC00061,14396300000061,CU01012,PR004,BR007,2025-04-18,,ACTIVE,INR,114798.57,CURRENT
AC00062,19410600000062,CU01874,PR003,BR009,2018-12-30,,ACTIVE,INR,164689.77,SAVINGS
AC00063,67590800000063,CU01980,PR004,BR002,2024-10-19,2026-08-28,CLOSED,INR,133928.64,CURRENT
AC00064,24381600000064,CU02722,PR001,BR002,2021-02-24,2022-01-10,CLOSED,INR,24247.63,SAVINGS
AC00065,38182600000065,CU00609,PR001,BR008,2019-05-13,,DORMANT,INR,22976.81,SAVINGS
AC00066,62444200000066,CU03981,PR008,BR008,2024-08-29,,ACTIVE,INR,96742.40,FIXED_DEPOSIT
AC00067,59002300000067,CU03150,PR006,BR004,2022-02-20,2026-08-29,CLOSED,INR,238241.22,CURRENT
AC00068,60957600000068,CU02048,PR001,BR010,2022-03-13,,DORMANT,INR,242936.12,SAVINGS
AC00069,26488900000069,CU03722,PR008,BR008,2025-01-02,,ACTIVE,INR,93371.46,FIXED_DEPOSIT
AC00070,97973400000070,CU00985,PR001,BR009,2025-02-08,,ACTIVE,INR,5424.59,SAVINGS
AC00071,22241700000071,CU02304,PR007,BR008,2020-10-02,2024-10-25,CLOSED,INR,8709.37,FIXED_DEPOSIT
AC00072,50303400000072,CU00583,PR004,BR002,2021-02-18,,ACTIVE,INR,29794.74,CURRENT
AC00073,96242400000073,CU03322,PR007,BR005,2023-06-21,2026-08-24,CLOSED,INR,53742.35,FIXED_DEPOSIT
AC00074,32224600000074,CU00667,PR007,BR008,2020-07-19,,DORMANT,INR,186816.45,FIXED_DEPOSIT
AC00075,92473200000075,CU02532,PR003,BR003,2020-06-30,,DORMANT,INR,123355.18,SAVINGS
AC00076,26917500000076,CU02738,PR002,BR010,2024-03-03,2026-08-23,CLOSED,INR,96850.24,SAVINGS
AC00077,73430800000077,CU03731,PR008,BR001,2018-05-16,2019-03-31,CLOSED,INR,35196.49,FIXED_DEPOSIT
AC00078,28458200000078,CU02650,PR005,BR006,2023-04-26,2026-08-26,CLOSED,INR,53027.26,CURRENT
AC00079,97962900000079,CU02627,PR006,BR005,2018-03-27,,DORMANT,INR,224422.02,CURRENT
AC00080,64299200000080,CU02973,PR007,BR005,2021-03-09,,ACTIVE,INR,83125.93,FIXED_DEPOSIT
AC00081,50333800000081,CU01775,PR006,BR007,2020-04-05,,ACTIVE,INR,7691.69,CURRENT
AC00082,84421900000082,CU04744,PR008,BR007,2020-01-18,2023-11-08,CLOSED,INR,56608.70,FIXED_DEPOSIT
AC00083,96342800000083,CU00169,PR004,BR003,2024-03-29,,ACTIVE,INR,25328.21,CURRENT
AC00084,34784300000084,CU02558,PR009,BR001,2018-07-24,,DORMANT,INR,84084.18,FIXED_DEPOSIT
AC00085,60510800000085,CU03004,PR006,BR006,2025-12-26,,DORMANT,INR,182562.64,CURRENT
AC00086,14653900000086,CU03221,PR001,BR010,2020-05-29,,ACTIVE,INR,157389.29,SAVINGS
AC00087,10889800000087,CU04674,PR009,BR003,2021-12-14,,ACTIVE,INR,71180.31,FIXED_DEPOSIT
AC00088,59887900000088,CU00322,PR004,BR008,2021-02-17,,ACTIVE,INR,47282.19,CURRENT
AC00089,24273700000089,CU03804,PR006,BR010,2023-08-10,,DORMANT,INR,2646.87,CURRENT
AC00090,87266600000090,CU04085,PR003,BR004,2023-07-07,,DORMANT,INR,4040.28,SAVINGS
AC00091,34570400000091,CU00896,PR007,BR003,2024-01-27,,DORMANT,INR,58337.75,FIXED_DEPOSIT
AC00092,86128600000092,CU04059,PR008,BR006,2023-08-12,2026-03-03,CLOSED,INR,117390.78,FIXED_DEPOSIT
AC00093,47573200000093,CU02637,PR008,BR008,2019-08-12,,ACTIVE,INR,123303.42,FIXED_DEPOSIT
AC00094,52212200000094,CU01839,PR006,BR010,2022-04-29,2026-08-25,CLOSED,INR,108945.69,CURRENT
AC00095,19479600000095,CU00230,PR009,BR007,2024-10-11,2025-05-21,CLOSED,INR,207226.05,FIXED_DEPOSIT
AC00096,15487700000096,CU03539,PR008,BR003,2018-03-24,2019-11-09,CLOSED,INR,184880.44,FIXED_DEPOSIT
AC00097,40559800000097,CU04359,PR004,BR007,2022-05-13,,ACTIVE,INR,81803.00,CURRENT
AC00098,12468400000098,CU01449,PR002,BR004,2025-12-26,,ACTIVE,INR,82641.99,SAVINGS
AC00099,64585200000099,CU02209,PR002,BR006,2025-04-23,2026-08-25,CLOSED,INR,73722.57,SAVINGS
AC00100,77144800000100,CU04239,PR008,BR009,2024-09-01,2026-08-25,CLOSED,INR,190965.20,FIXED_DEPOSIT
AC00101,29058000000101,CU04788,PR001,BR007,2021-07-27,,ACTIVE,INR,1507.91,SAVINGS
AC00102,43508900000102,CU01139,PR001,BR004,2020-07-05,,ACTIVE,INR,71397.40,SAVINGS
AC00103,91385800000103,CU03864,PR006,BR001,2018-09-21,,ACTIVE,INR,172970.14,CURRENT
AC00104,10690700000104,CU03555,PR005,BR002,2025-06-03,2026-08-24,CLOSED,INR,60595.30,CURRENT
AC00105,64320000000105,CU04300,PR009,BR009,2022-02-12,,DORMANT,INR,39907.37,FIXED_DEPOSIT
AC00106,41820100000106,CU00437,PR005,BR005,2023-11-10,2026-07-22,CLOSED,INR,4597.29,CURRENT
AC00107,66916500000107,CU00572,PR002,BR001,2021-04-14,,ACTIVE,INR,396.57,SAVINGS
AC00108,42858800000108,CU00948,PR006,BR009,2024-02-29,2025-01-04,CLOSED,INR,110592.30,CURRENT
AC00109,22996700000109,CU03964,PR002,BR010,2019-05-09,,ACTIVE,INR,20.26,SAVINGS
AC00110,66399200000110,CU03969,PR009,BR009,2020-10-19,,ACTIVE,INR,335755.68,FIXED_DEPOSIT
AC00111,25239200000111,CU01687,PR003,BR006,2023-03-28,2026-08-27,CLOSED,INR,53487.84,SAVINGS
AC00112,99910800000112,CU03351,PR004,BR005,2025-10-26,,ACTIVE,INR,63454.02,CURRENT
AC00113,92009700000113,CU04128,PR004,BR008,2021-08-13,2023-03-16,CLOSED,INR,249002.72,CURRENT
AC00114,85643500000114,CU02336,PR005,BR010,2022-09-14,,DORMANT,INR,99151.93,CURRENT
AC00115,13191300000115,CU00752,PR006,BR004,2023-06-30,2026-08-26,CLOSED,INR,76958.20,CURRENT
AC00116,39408800000116,CU00167,PR001,BR003,2025-06-10,,ACTIVE,INR,79832.02,SAVINGS
AC00117,99378800000117,CU00008,PR005,BR003,2022-07-13,,DORMANT,INR,244509.28,CURRENT
