card_id,account_id,customer_id,card_number,card_type,issue_date,expiry_date,card_status
CA00001,AC01352,CU01829,2229-4725-6660-2967,DEBIT,2023-05-20,2027-05-20,EXPIRED
CA00002,AC03816,CU01455,4600-7541-2408-6797,CREDIT,2023-02-26,2028-02-26,BLOCKED
CA00003,AC01008,CU02436,6157-5569-2665-8358,DEBIT,2023-03-03,2027-03-03,EXPIRED
CA00004,AC03371,CU00823,8948-5198-1422-7268,DEBIT,2023-11-06,2028-11-06,BLOCKED
CA00005,AC01273,CU02935,6119-5799-6033-7185,CREDIT,2024-01-25,2029-01-25,EXPIRED
CA00006,AC02636,CU01891,4692-0615-5292-8710,DEBIT,2021-09-22,2025-09-22,ACTIVE
CA00007,AC00463,CU01053,7878-2282-6358-7001,CREDIT,2024-03-10,2029-03-10,ACTIVE
CA00008,AC03373,CU02590,1611-5003-3791-2721,CREDIT,2020-08-28,2024-08-28,EXPIRED
CA00009,AC03199,CU01767,9711-6120-7566-5774,DEBIT,2020-08-12,2024-08-12,EXPIRED
CA00010,AC00459,CU01073,9016-1872-9395-9232,DEBIT,2022-03-14,2026-03-14,EXPIRED
CA00011,AC06744,CU02901,4012-3211-4416-5769,CREDIT,2025-11-28,2029-11-28,EXPIRED
CA00012,AC02150,CU03584,6889-8959-6481-2140,CREDIT,2023-09-09,2027-09-09,BLOCKED
CA00013,AC06295,CU02086,4875-9847-8107-2302,DEBIT,2021-11-19,2026-11-19,EXPIRED
CA00014,AC05505,CU01031,9462-2732-8523-5584,DEBIT,2024-09-09,2028-09-09,BLOCKED
CA00015,AC00396,CU04136,0534-6271-8410-7932,CREDIT,2024-05-02,2027-05-02,ACTIVE
CA00016,AC01544,CU04868,6023-1146-5048-0938,DEBIT,2025-11-03,2030-11-03,BLOCKED
CA00017,AC01397,CU03954,6774-0079-7116-9423,DEBIT,2024-05-13,2027-05-13,EXPIRED
CA00018,AC05378,CU01094,2423-2250-9516-6520,CREDIT,2023-04-15,2027-04-15,BLOCKED
CA00019,AC05689,CU02958,4871-9704-4381-4058,CREDIT,2020-01-07,2025-01-07,ACTIVE
CA00020,AC04712,CU01690,8138-9245-2653-3500,DEBIT,2020-07-25,2024-07-25,EXPIRED
CA00021,AC02119,CU00412,9412-5809-8707-5550,CREDIT,2020-10-08,2023-10-08,EXPIRED
CA00022,AC05643,CU03734,4554-2506-8986-3163,DEBIT,2025-01-29,2028-01-29,BLOCKED
CA00023,AC06142,CU02138,3739-8100-1525-0729,CREDIT,2024-02-11,2027-02-11,BLOCKED
CA00024,AC03001,CU02819,9112-2586-4876-0238,DEBIT,2023-01-09,2028-01-09,BLOCKED
CA00025,AC01441,CU02143,1569-4660-0190-3698,DEBIT,2022-10-31,2027-10-31,BLOCKED
CA00026,AC04248,CU01694,2520-3554-6742-6499,DEBIT,2025-07-13,2029-07-13,ACTIVE
CA00027,AC00533,CU01944,2222-7965-6088-0469,DEBIT,2020-05-23,2025-05-23,BLOCKED
CA00028,AC04742,CU00038,0013-9364-1763-0464,CREDIT,2020-11-07,2024-11-07,EXPIRED
CA00029,AC06244,CU04802,4719-2735-0000-9823,CREDIT,2021-02-12,2024-02-12,BLOCKED
CA00030,AC00847,CU01898,1127-7491-4026-3177,DEBIT,2023-01-16,2028-01-16,EXPIRED
CA00031,AC00433,CU00730,0178-8523-1946-8582,DEBIT,2021-11-16,2025-11-16,EXPIRED
CA00032,AC04061,CU00848,5301-4462-0204-4144,DEBIT,2022-08-18,2027-08-18,ACTIVE
CA00033,AC02776,CU04221,9213-6317-2915-9352,CREDIT,2021-07-20,2025-07-20,ACTIVE
CA00034,AC04667,CU02313,7802-8915-8337-4660,DEBIT,2021-09-26,2026-09-26,EXPIRED
CA00035,AC00390,CU02691,7162-6177-2106-1615,CREDIT,2020-11-07,2025-11-07,EXPIRED
CA00036,AC06230,CU02846,5172-3477-8221-0346,DEBIT,2021-12-15,2024-12-15,EXPIRED
CA00037,AC04573,CU01863,7253-6127-3197-4102,DEBIT,2024-10-19,2028-10-19,BLOCKED
CA00038,AC07224,CU02104,8697-4143-9113-2659,DEBIT,2020-04-06,2024-04-06,ACTIVE
CA00039,AC03472,CU03249,4938-4761-7133-7633,CREDIT,2025-05-09,2028-05-09,EXPIRED
CA00040,AC04395,CU02190,9373-1158-3987-1452,CREDIT,2025-09-22,2030-09-22,EXPIRED
CA00041,AC02152,CU01069,6882-4447-5192-5102,CREDIT,2021-08-23,2026-08-23,EXPIRED
CA00042,AC03191,CU02305,7611-4771-9265-7036,DEBIT,2021-07-10,2026-07-10,EXPIRED
CA00043,AC07034,CU04336,4491-3897-5091-1727,DEBIT,2023-07-10,2026-07-10,ACTIVE
